weight_panel_fe,weight_lgb,rmse,mae,mape
0.0,1.0,861906.5059256633,129174.7621487384,265.8574642262529
0.05,0.95,826874.130724681,123368.75001052296,342.80929330168954
0.1,0.9,792647.4259822705,120892.98476610825,685.3838303733639
0.15000000000000002,0.85,759335.3452334831,120197.54820543769,1043.4715395366782
0.2,0.8,727063.6161129905,120104.72673925171,1406.793964334802
0.25,0.75,695976.9737424182,120415.04884909868,1773.485059393517
0.30000000000000004,0.7,666241.3262729375,121145.11284638963,2142.085003103212
0.35000000000000003,0.6499999999999999,638045.5880562939,122385.71043622839,2511.187972990502
0.4,0.6,611602.7720605856,124280.2243499573,2880.6194992574556
0.45,0.55,587149.7593427033,126758.31423520301,3250.291529052102
0.5,0.5,564944.9882511639,129972.48831066374,3620.4066372028037
0.55,0.44999999999999996,545263.1936541584,133840.38163800145,3991.339432123733
0.6000000000000001,0.3999999999999999,528386.3848621274,138336.7124369667,4362.571403678455
0.65,0.35,514590.6176868322,143482.2742757739,4733.938729965732
0.7000000000000001,0.29999999999999993,504128.8988590855,149205.20101099115,5105.445840481587
0.75,0.25,497211.7257953035,155510.97074156336,5477.1145972703725
0.8,0.19999999999999996,493988.0207269457,162450.9385537083,5848.924722934513
0.8500000000000001,0.1499999999999999,494530.0190332413,169821.38122018636,6220.822576290608
0.9,0.09999999999999998,498825.44600112573,177602.3849094874,6592.807577247911
0.9500000000000001,0.04999999999999993,506778.86911486095,186340.48019684202,6965.012409920733
1.0,0.0,518221.8921797534,195538.36052717685,7337.406449264705
