feature,importance
dryness_proxy,0.15279162378357097
temp_range_c,0.15184631988826938
avg_tmin_c,0.1488404750462574
avg_tmax_c,0.14605964844300132
year_index,0.09469077976031234
tot_prcp_mm,0.08474844599943578
CAUSE_14,0.02194413910667845
C_METHOD_6,0.020113222074444687
AGENCY_ID_1,0.019451188533848827
AGENCY_ID_2,0.01744156152893191
AGENCY_ID_4,0.015442244476727053
C_METHOD_7,0.015135289618922207
CAUSE_2,0.012906191517602104
CAUSE_9,0.012215373250311
CAUSE_11,0.009987632605902942
CAUSE_5,0.009647650674688745
CAUSE_10,0.009540351290540235
CAUSE_7,0.008772095327178727
AGENCY_ID_6,0.007979157620673302
C_METHOD_2,0.0071768684184655126
AGENCY_ID_3,0.0061525919058294885
C_METHOD_8,0.005022062398323007
C_METHOD_3,0.004313784039935603
C_METHOD_4,0.0030627532329212787
CAUSE_18,0.003040859771972543
CAUSE_8,0.0028493862191082803
CAUSE_4,0.002843451387374248
CAUSE_3,0.0016796684982568395
AGENCY_ID_5,0.0016140374366917832
C_METHOD_5,0.0008461373361947032
AGENCY_ID_8,0.0006720428086180045
CAUSE_6,0.00034402326961100523
CAUSE_15,0.00032885214558884
AGENCY_ID_7,0.0003006142850440629
OBJECTIVE_2,0.00019947629876745465
